title,artist,track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Crazy - Single Version,"Patsy Cline, The Jordanaires",3zpj9dvJABiyMrmLCPw6i8,country,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796
Folsom Prison Blues,"Johnny Cash, The Tennessee Two",121sjkub4p4zcFNozkKnQD,country,0.754,0.54,5,-8.326,1,0.0266,0.687,7.51e-05,0.0868,0.79,101.738
I Will Always Love You,Dolly Parton,6nRvgo4ySezQKD1D7NIqAu,country,0.446,0.142,9,-13.498,1,0.0335,0.96,0.00114,0.101,0.156,135.724
Springsteen,Eric Church,05ZACkzW8YbRq3eFgIfSNB,country,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023
He Stopped Loving Her Today,George Jones,6qMgx8ys4MNNxypaIvbG0i,country,0.43,0.173,8,-18.597,1,0.0321,0.594,0.000111,0.224,0.365,72.103
The Devil Went Down to Georgia,The Charlie Daniels Band,383Xl5QTigwj3QiA3Qc6S7,country,0.523,0.626,0,-9.425,1,0.0523,0.155,0.0,0.0869,0.917,134.127
King Of The Road,Roger Miller,0tm2gY77p2X7BsSWRq0cBk,country,0.672,0.278,11,-13.733,1,0.0704,0.712,0.0,0.202,0.6,117.96
Dirt Road Anthem,Jason Aldean,7awFBRzXpFoy8YIm9zOb5s,country,0.678,0.739,2,-5.068,1,0.0352,0.32,2.36e-06,0.116,0.658,127.037
El Paso,Marty Robbins,4f8hBeMXMvssn6HtFAtblo,country,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-05,0.16,0.691,106.662
I Fall To Pieces - Single Version,"Patsy Cline, The Jordanaires",6zFsz86nAj5gcvzyVqNL3k,country,0.54,0.0568,10,-20.508,1,0.0351,0.917,1.01e-06,0.12,0.506,111.791
On the Road Again,Willie Nelson,3MpK9vnxxgYvh0CNeGvx6G,country,0.731,0.716,4,-7.962,1,0.0417,0.687,0.000882,0.597,0.777,111.281
Mountain Music,Alabama,7BjmEKAVTnJNkRNaUzBy2K,country,0.467,0.526,9,-9.982,1,0.0433,0.119,0.0,0.124,0.753,109.555
How Forever Feels,Kenny Chesney,2HmMklpgK8vGCpJmPpz1yG,country,0.723,0.674,7,-7.427,1,0.0297,0.0986,1.83e-05,0.279,0.61,124.9
Stand By Your Man,Tammy Wynette,6xatfNMI8NkY5XxRHAeiS4,country,0.517,0.246,9,-11.992,1,0.0308,0.788,0.00105,0.133,0.525,105.24
Livin' On Love,Alan Jackson,26iYJEimPCE0ozDlpj0UFN,country,0.705,0.669,9,-5.974,1,0.0262,0.163,3.41e-06,0.0966,0.673,118.539
Ring of Fire,Johnny Cash,6YffUZJ2R06kyxyK6onezL,country,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111
Live Like You Were Dying,Tim McGraw,7B1QliUMZv7gSTUGAfMRRD,country,0.416,0.546,7,-7.728,1,0.0297,0.492,0.0,0.0845,0.418,159.929
Your Cheatin' Heart,"Hank Williams, Drifting Cowboys",73HgnHCHDEZCmtMpEzxnO0,country,0.668,0.14,0,-17.412,1,0.0316,0.947,2.61e-06,0.326,0.635,128.095
When You Say Nothing At All,Alison Krauss & Union Station,6HveTIMynTMzTc5L0TcS20,country,0.514,0.243,3,-12.348,1,0.0288,0.752,0.00054,0.0822,0.388,171.816
Drink In My Hand,Eric Church,1cktZnxiONH0hR6Q3DKy8h,country,0.626,0.913,0,-4.452,1,0.0318,0.00635,0.0,0.293,0.946,113.044
"Luckenbach, Texas (Back to the Basics of Love)",Waylon Jennings,6ANPIv5r3vdWntrmFa6H6M,country,0.684,0.45,7,-10.422,1,0.0332,0.704,0.00191,0.243,0.639,102.902
Play It Again,Luke Bryan,03fT3OHB9KyMtGMt2zwqCT,country,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935
God Bless The USA,Lee Greenwood,3DWGiPUy9PhJIMOt1SRIVL,country,0.368,0.411,5,-8.821,1,0.0281,0.0756,0.0,0.145,0.156,138.749
Hello Darlin',Conway Twitty,6vmAgl2y9MpoZKrVUXrPe5,country,0.276,0.235,0,-14.352,1,0.0315,0.94,1.01e-05,0.132,0.472,170.55
Cruise,Florida Georgia Line,1aS5oaBNG6wsf186ZZMCzX,country,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0
Lookin' for Love,Johnny Lee,1GZPwcq6wQ5XimwWxQy6sy,country,0.733,0.441,2,-12.548,1,0.0315,0.631,0.000667,0.115,0.784,124.547
Pickin' up Strangers,Johnny Lee,6oLb7W5ALa0i3cd4bQanEU,country,0.64,0.282,0,-17.362,1,0.0416,0.354,0.000183,0.0649,0.474,134.242
Dreams Die Hard,Johnny Lee,2tyGwTGnMrO3rFeRm9hpw5,country,0.672,0.296,4,-15.277,1,0.0277,0.649,0.000234,0.11,0.528,105.04
Down and Dirty,Johnny Lee,1GQg6OaA6G5L94Kniz8Vol,country,0.773,0.495,11,-14.521,0,0.0298,0.157,0.000673,0.121,0.87,101.172
Fool for Love,Johnny Lee,43J5oKpADrahUqE5VVeKcD,country,0.683,0.35,9,-15.09,1,0.0629,0.176,0.0,0.157,0.67,135.792
One in a Million,Johnny Lee,6rO3H8372xNbIp6lxvbSpu,country,0.672,0.465,7,-13.479,1,0.03,0.502,1.06e-06,0.124,0.522,121.216
Anni,Johnny Lee,6Sqnw4eNhs8vP1q9U0RXQT,country,0.707,0.328,7,-14.615,1,0.0323,0.52,6.61e-05,0.0862,0.664,116.441
Do You Love as Good as You Look,Johnny Lee,1nFbE2x7KrUOoLlCgix5ZO,country,0.714,0.357,4,-16.65,1,0.0341,0.451,0.000117,0.242,0.744,117.229
Too Damned Old,Johnny Lee,6bY64DOIOx9BcWD1kGfAME,country,0.816,0.561,9,-14.126,1,0.035,0.249,0.125,0.12,0.967,116.289
Prisoner of Hope,Johnny Lee,2QsMmg5uwLy3EIGA8HLszU,country,0.512,0.293,5,-16.944,1,0.047,0.589,0.00453,0.147,0.663,204.795
Coal Miner's Daughter - Single Version,Loretta Lynn,3mM14WXoPaLRjjkmxHe99L,country,0.604,0.354,9,-14.07,1,0.0313,0.836,0.00474,0.103,0.635,137.349
It's A Great Day To Be Alive,Travis Tritt,3oW6SWwGqiZSPTiAp7ZQoH,country,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93
Take This Job and Shove It,Johnny Paycheck,6yT7kcpsXNW7QS9xunPaox,country,0.763,0.364,5,-14.244,1,0.0559,0.556,2.02e-05,0.0792,0.715,137.132
"Forever and Ever, Amen",Randy Travis,4rQSLX4qMiUWL81hEQOuPY,country,0.701,0.68,2,-8.492,1,0.0264,0.303,1.51e-05,0.159,0.704,90.607
Okie From Muskogee - Re-Recorded,Merle Haggard,3clB1MI7aKn0N9X1KuWK8n,country,0.683,0.416,4,-12.967,1,0.0536,0.462,0.0,0.384,0.738,142.386
Don't Take The Girl,Tim McGraw,2iTRea118VRKRUzrGjjlHP,country,0.439,0.454,0,-8.669,1,0.0308,0.279,0.0,0.123,0.354,204.263
Neon Moon - with Kacey Musgraves,"Brooks & Dunn, Kacey Musgraves",3lVPtkNFoIyPPGVdNri4VH,country,0.645,0.552,3,-7.623,1,0.033,0.167,2.33e-05,0.0718,0.214,102.881
Big Green Tractor,Jason Aldean,1jvUrVUMm1U2XfXX534fRP,country,0.616,0.596,4,-5.035,1,0.0289,0.654,0.0,0.218,0.58,137.077
The Gambler,Kenny Rogers,5KqldkCunQ2rWxruMEtGh0,country,0.671,0.501,4,-13.119,1,0.0594,0.342,0.0,0.194,0.86,87.04
It's Five O'Clock Somewhere,"Alan Jackson, Jimmy Buffett",5oHHMDcVOmPSFrCgdbHPdb,country,0.713,0.772,2,-6.69,1,0.0372,0.208,0.0,0.211,0.88,125.202
"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",Johnny Cash,5xMNjx7uqCzMpJZSo4Wq55,country,0.63,0.489,10,-12.144,1,0.18,0.77,0.0,0.381,0.796,101.876
Don't Blink,Kenny Chesney,6reuJxDtjebwc9FB6rNpp0,country,0.604,0.605,4,-8.516,1,0.0352,0.115,1.22e-05,0.305,0.647,147.925
All My Ex's Live In Texas,George Strait,7k1Xm1wy00hCKJDYJL5p1n,country,0.764,0.333,9,-15.921,1,0.0308,0.217,1.02e-05,0.11,0.738,130.541
Wagon Wheel,Darius Rucker,3xdjjKMcMOFgo1eQrfbogM,country,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096
Kiss An Angel Good Mornin',Charley Pride,1gNUf7ItWfqwFrpDWzYcYY,country,0.686,0.512,4,-10.361,1,0.0294,0.794,0.0,0.313,0.876,131.794
Colder Weather,Zac Brown Band,3U8dHeggJ8IBe0UCb1gbyB,country,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975
Good Hearted Woman,"Waylon Jennings, Willie Nelson",3CqLvQ9fPOLtLIKb7r5ti6,country,0.41,0.568,2,-11.673,1,0.0346,0.387,0.102,0.389,0.644,103.026
Fancy,Reba McEntire,1ecIqo8pOc8S6y3l80iGxd,country,0.675,0.54,4,-10.139,1,0.0774,0.204,0.0,0.0688,0.514,94.959
"Hey, Good Lookin'","Hank Williams, Drifting Cowboys",7tNJo8NJ7fhprfjyDgdH2A,country,0.786,0.248,7,-12.888,1,0.0384,0.868,0.0,0.116,0.865,141.185
Cowboy Take Me Away,The Chicks,3rXCZRMiMZp0feGcYXpwYX,country,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418
Six Days on the Road,Dave Dudley,1tswBQlL2Bklbb82GHxKoW,country,0.684,0.614,7,-11.571,1,0.0355,0.611,0.000198,0.129,0.836,97.918
It's Your Love,"Tim McGraw, Faith Hill",7nEdCj0MFbGWOxwjlpPesa,country,0.474,0.528,7,-8.588,1,0.0276,0.526,0.0,0.109,0.364,144.366
You Never Even Called Me By My Name,David Allan Coe,29TI0GvP5gMQMPTJjdMe0H,country,0.604,0.459,0,-13.19,1,0.0321,0.153,0.0,0.275,0.505,105.908
Tim McGraw,Taylor Swift,7DQmwd7zye9xvzMQJnD8S8,country,0.574,0.499,0,-6.462,1,0.0254,0.601,0.0,0.123,0.447,76.0
"Sunday Morning Coming Down - Live at Ryman Auditorium, Nashville, TN - July 1970",Johnny Cash,5KF3zQP0cqLklYnF6riogg,country,0.392,0.472,8,-9.499,1,0.0257,0.415,1.68e-05,0.892,0.808,78.93
Islands In the Stream,"Dolly Parton, Kenny Rogers",4dqEzdFAYkj1rjYLVDuTlN,country,0.595,0.473,8,-9.828,1,0.0347,0.702,0.0,0.0725,0.716,204.016
Crazy Girl,Eli Young Band,1nVLAEzhBXMJLR5zAl90Nl,country,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343
Always on My Mind,Willie Nelson,2xYQTU2bbg6WVAmpY1eae4,country,0.524,0.261,2,-13.868,1,0.0272,0.755,0.00105,0.144,0.201,73.36
